iso3,country_name,year,start_date,start_date_accuracy,end_date,end_date_accuracy,event_name,hazard_category,hazard_category_name,hazard_sub_category,hazard_sub_category_name,hazard_type,hazard_type_name,hazard_sub_type,hazard_subtype_name,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded,glide_numbers
#country+code,#country+name,#date+year,#date+start,#accuracy+date+start,#date+end,#accuracy+date+end,#event+name,#crisis+category+code,#crisis+category+name,#crisis+subcategory+code,#crisis+subcategory+name,#crisis+type+code,#crisis+type+name,#crisis+subtype+code,#crisis+subtype+name,#affected+idps+ind+new+disaster,,#affected+idps+ind+total+disaster,,#crisis+code
LKA,Sri Lanka,2008,2008-04-27,Day,2008-05-03,Day,Sri Lanka: Storm - 27/04/2008,2,Weather related,4,Meteorological,14,Storm,21,,33408,33000,,,
LKA,Sri Lanka,2008,2008-05-29,Day,2008-06-05,Day,Sri Lanka: Flood - 29/05/2008,2,Weather related,3,Hydrological,10,Flood,13,,400000,400000,,,
LKA,Sri Lanka,2008,2008-11-22,Day,2008-12-04,Day,Sri Lanka: Flood - 22/11/2008,2,Weather related,3,Hydrological,10,Flood,13,,85000,85000,,,
LKA,Sri Lanka,2008,2008-12-03,Day,2008-03-14,Day,Sri Lanka: Flood - 03/12/2008,2,Weather related,3,Hydrological,10,Flood,13,,7000,7000,,,
LKA,Sri Lanka,2009,2009-01-01,Month,,,Sri Lanka: Flood - 01/01/2009,2,Weather related,3,Hydrological,10,Flood,13,,60000,60000,,,
LKA,Sri Lanka,2009,2009-01-01,Month,,,Sri Lanka: Flood - 01/01/2009,2,Weather related,3,Hydrological,10,Flood,13,,302885,303000,,,
LKA,Sri Lanka,2010,2010-01-01,Month,,,Sri Lanka: Flood - 01/01/2010,2,Weather related,3,Hydrological,10,Flood,13,,375,380,,,
LKA,Sri Lanka,2010,2010-01-01,Month,,,Sri Lanka: Flood - 01/01/2010,2,Weather related,3,Hydrological,10,Flood,13,,17039,17000,,,
LKA,Sri Lanka,2010,2010-01-01,Month,,,Sri Lanka: Flood - 01/01/2010,2,Weather related,3,Hydrological,10,Flood,13,,124000,124000,,,
LKA,Sri Lanka,2011,2011-01-01,Month,,,Sri Lanka: Flood - 01/01/2011,2,Weather related,3,Hydrological,10,Flood,13,,107,110,,,
LKA,Sri Lanka,2011,2011-01-01,Month,,,Sri Lanka: Flood - 01/01/2011,2,Weather related,3,Hydrological,10,Flood,13,,320408,320000,,,
LKA,Sri Lanka,2011,2011-01-01,Month,,,Sri Lanka: Flood - 01/01/2011,2,Weather related,3,Hydrological,10,Flood,13,,362646,363000,,,
LKA,Sri Lanka,2011,2011-01-01,Month,,,Sri Lanka: Storm - 01/01/2011,2,Weather related,4,Meteorological,14,Storm,21,,1723,1700,,,
LKA,Sri Lanka,2012,2012-01-01,Month,,,Sri Lanka: Flood - 01/01/2012,2,Weather related,3,Hydrological,10,Flood,13,,2320,2300,,,
LKA,Sri Lanka,2012,2012-01-01,Month,,,Sri Lanka: Flood - 01/01/2012,2,Weather related,3,Hydrological,10,Flood,13,,70000,70000,,,
LKA,Sri Lanka,2012,2012-12-01,Month,2012-12-21,Day,Sri Lanka: Flood - 01/12/2012,2,Weather related,3,Hydrological,10,Flood,13,,56772,57000,,,
LKA,Sri Lanka,2013,2013-01-05,Day,2013-01-11,Day,Sri lanka january flood,2,Weather related,3,Hydrological,10,Flood,13,,189090,189000,,,
LKA,Sri Lanka,2013,2013-02-13,Day,2013-02-15,Day,Mullaitivu flood,2,Weather related,3,Hydrological,10,Flood,13,,14251,14000,,,
LKA,Sri Lanka,2013,2013-03-07,Day,2013-03-07,Day,Sri Lanka: Wildfire - 07/03/2013,2,Weather related,2,Climatological,9,Wildfire,11,,20,20,,,
LKA,Sri Lanka,2013,2013-05-13,Day,2013-05-13,Day,Sri lanka landslide,2,Weather related,3,Hydrological,11,Mass Movement,15,,81,81,,,
LKA,Sri Lanka,2013,2013-05-13,Day,2013-05-15,Day,Cyclone mahasen,2,Weather related,4,Meteorological,14,Storm,21,,115000,115000,,,
LKA,Sri Lanka,2013,2013-05-24,Day,2013-05-24,Day,Sri lanka landslide,2,Weather related,3,Hydrological,11,Mass Movement,15,,78,78,,,
LKA,Sri Lanka,2013,2013-06-02,Day,2013-06-02,Day,Sri lanka flooding,2,Weather related,3,Hydrological,10,Flood,13,,75,75,,,
LKA,Sri Lanka,2013,2013-06-08,Day,2013-06-08,Day,Sri Lanka: Storm - 08/06/2013,2,Weather related,4,Meteorological,14,Storm,21,,1953,2000,,,
LKA,Sri Lanka,2013,2013-07-01,Day,2013-07-10,Day,Sri Lanka: Storm - 01/07/2013,2,Weather related,4,Meteorological,14,Storm,21,,443,440,,,
LKA,Sri Lanka,2013,2013-08-05,Day,2013-08-05,Day,Sri Lanka: Flood - 05/08/2013,2,Weather related,3,Hydrological,10,Flood,13,,2972,3000,,,
LKA,Sri Lanka,2013,2013-08-31,Day,2013-08-31,Day,Sri Lanka: Storm - 31/08/2013,2,Weather related,4,Meteorological,14,Storm,21,,64,64,,,
LKA,Sri Lanka,2013,2013-09-10,Day,2013-09-10,Day,Sri Lanka: Flood - 10/09/2013,2,Weather related,3,Hydrological,10,Flood,13,,47,47,,,
LKA,Sri Lanka,2013,2013-10-04,Day,2013-10-04,Day,Sri Lanka: Wildfire - 04/10/2013,2,Weather related,2,Climatological,9,Wildfire,11,,122,120,,,
